Year,Transaction_Type,Total_Amount
2018,Peer-to-peer payments,2865928045869.525
2018,Recharge & bill payments,219531764122.35587
2018,Merchant payments,113279586692.22284
2018,Others,39845642355.98433
2018,Financial Services,7505753787.704343
2019,Peer-to-peer payments,10977514213923.914
2019,Merchant payments,822880448437.5837
2019,Recharge & bill payments,700405520691.3636
2019,Others,47941070811.959724
2019,Financial Services,4635012513.041147
2020,Peer-to-peer payments,24652041349780.355
2020,Merchant payments,3096734645807.4087
2020,Recharge & bill payments,1488197850587.3186
2020,Others,28434483649.15798
2020,Financial Services,16915626297.491737
2021,Peer-to-peer payments,55934257988784.875
2021,Merchant payments,10541588355115.324
2021,Recharge & bill payments,2634475754031.736
2021,Others,54483394315.64432
2021,Financial Services,32593882085.34282
2022,Peer-to-peer payments,100091779676756.0
2022,Merchant payments,23890150433631.754
2022,Recharge & bill payments,4454922660246.896
2022,Others,58441896118.53601
2022,Financial Services,37371155057.457016
2023,Peer-to-peer payments,145047448037056.0
2023,Merchant payments,36260667120266.0
2023,Recharge & bill payments,7559773865912.0
2023,Financial Services,61176544336.0
2023,Others,54561230672.0
2024,Peer-to-peer payments,193485748630254.0
2024,Merchant payments,55954453559516.0
2024,Recharge & bill payments,9620211304964.0
2024,Financial Services,123839560296.0
2024,Others,64853606030.0
