,Device_Brand,Total_Registered_Users,Total_App_Opens,Engagement_Rate
0,Tecno,1742707970,63637206796,36.52
1,OnePlus,5386582130,155851796408,28.93
2,Apple,6182166104,169350892716,27.39
3,Huawei,6471102634,176849691080,27.33
4,Infinix,710575038,18988232202,26.72
5,Xiaomi,6920650384,184832408898,26.71
6,Samsung,6920650384,184832408898,26.71
7,Vivo,6920650384,184832408898,26.71
8,Oppo,6920650384,184832408898,26.71
9,Realme,6920650384,184832408898,26.71
10,Others,6920650384,184832408898,26.71
11,Motorola,6678602152,177059138476,26.51
12,Lenovo,5094592420,120235020970,23.60
13,HMD Global,79865106,1812336912,22.69
14,Gionee,434901416,8365127156,19.23
15,Lava,241898956,4612085550,19.07
16,Micromax,1075668454,19469874956,18.10
17,Asus,504436578,7930641268,15.72
18,COOLPAD,1002,0,0.00
19,Lyf,151960,0,0.00
